price_per_month,metro_nearest_time,total_area,floor,has_bath_flg,has_shower_flg,has_internet_flg,has_ac_flg,has_room_furniture_flg,has_kitchen_furniture_flg,has_dishwasher_flg,has_washer_flg,has_tv_flg,has_fridge_flg,utility_fixed_bill,utility_usage_bill_flg,utility_counters_extra_flg,deposit,comission,prepayment_months_cnt,rent_term_months_cnt,combined_bathrooms_cnt,separate_bathrooms_cnt,repair_cat,freight_elevators_cnt,passenger_elevators_cnt,parking_cat,heating_cat,balcony_cnt,loggia_cnt,has_garbage_chute_flg,has_concierge_flg,entrances_cnt,individual_project_flg,era_cat,house_type_monolithic_flg,house_type_monolithic_brick_flg,house_type_panel_flg,district_krasnogvardeysky_flg,district_krasnoselsky_flg,district_moskovsky_flg,district_nevsky_flg,district_other_flg,district_primorsky_flg,district_vyborgsky_flg
50000,12,47.7,0.27,1,0,1,0,1,1,0,1,0,1,5000,0,1,50000,0.5,1,12,0,1,2,1,2,1,3,1,0,0,0,1,1,4,0,0,1,0,0,0,0,0,1,0
47800,8,32.6,0.69,1,0,0,0,1,1,0,1,0,1,4000,0,1,0,0.7,1,12,1,0,2,1,1,1,1,0,1,0,0,6,1,4,1,0,0,0,0,0,0,0,1,0
40000,5,34.0,0.54,0,1,1,0,1,1,1,1,1,1,3500,0,1,42000,0.5,1,12,1,0,2,1,1,1,3,0,1,0,0,3,0,4,1,0,0,0,0,0,0,0,1,0
32000,13,42.3,0.81,0,0,0,0,1,1,0,1,1,1,5000,0,1,32000,0.6,1,12,0,1,2,0,2,1,1,1,0,0,0,6,0,3,0,1,0,0,1,0,0,0,0,0
25000,18,20.0,0.83,0,1,1,0,1,1,0,1,0,1,1500,0,1,25000,0.0,1,12,1,0,2,1,1,1,0,1,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0
60000,18,82.0,0.75,1,0,1,0,1,1,1,1,1,1,7000,0,1,60000,1.0,1,12,1,1,3,0,2,0,3,0,2,1,0,11,1,3,1,0,0,0,0,0,0,1,0,0
39000,6,51.7,0.12,1,0,0,0,1,1,0,1,1,1,7600,0,1,39000,0.0,1,3,0,1,1,1,1,0,1,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1
33000,13,20.0,0.2,0,1,1,0,1,1,0,1,1,1,6000,0,0,10000,0.0,1,3,1,0,3,0,0,0,1,0,0,0,0,11,1,1,0,0,0,0,0,0,0,1,0,0
45000,6,36.7,0.75,1,0,1,0,1,0,0,1,0,1,0,1,1,45000,0.7,1,3,1,0,2,1,1,2,1,0,1,0,0,2,0,4,1,0,0,0,0,0,0,1,0,0
59000,11,40.0,0.4,0,0,0,0,1,1,0,1,0,1,5000,0,1,59000,0.5,1,12,1,0,3,0,0,0,3,0,1,0,0,17,1,4,1,0,0,0,0,0,0,1,0,0
58000,7,36.0,0.79,0,0,1,0,1,1,1,1,1,1,5000,0,1,58000,0.5,1,12,1,0,2,1,1,1,0,0,1,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0
50000,6,33.0,0.67,0,1,1,1,1,1,1,1,1,1,7000,0,1,50000,1.0,1,12,1,0,3,0,3,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
